"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1991-Q3","Q3-1991","PC","Percentage","0","Units",,,-3.054796,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1991-Q4","Q4-1991","PC","Percentage","0","Units",,,-2.93271,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1992-Q1","Q1-1992","PC","Percentage","0","Units",,,-2.938037,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1992-Q2","Q2-1992","PC","Percentage","0","Units",,,-3.216838,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1992-Q3","Q3-1992","PC","Percentage","0","Units",,,-3.723896,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1992-Q4","Q4-1992","PC","Percentage","0","Units",,,-3.150533,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1993-Q1","Q1-1993","PC","Percentage","0","Units",,,-2.878217,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1993-Q2","Q2-1993","PC","Percentage","0","Units",,,-3.098847,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1993-Q3","Q3-1993","PC","Percentage","0","Units",,,-3.232471,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1993-Q4","Q4-1993","PC","Percentage","0","Units",,,-2.89731,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1994-Q1","Q1-1994","PC","Percentage","0","Units",,,-2.813069,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1994-Q2","Q2-1994","PC","Percentage","0","Units",,,-4.366524,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1994-Q3","Q3-1994","PC","Percentage","0","Units",,,-5.477961,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1994-Q4","Q4-1994","PC","Percentage","0","Units",,,-5.351745,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1995-Q1","Q1-1995","PC","Percentage","0","Units",,,-5.719146,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1995-Q2","Q2-1995","PC","Percentage","0","Units",,,-5.028079,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1995-Q3","Q3-1995","PC","Percentage","0","Units",,,-4.384148,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1995-Q4","Q4-1995","PC","Percentage","0","Units",,,-4.83287,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1996-Q1","Q1-1996","PC","Percentage","0","Units",,,-3.955579,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1996-Q2","Q2-1996","PC","Percentage","0","Units",,,-2.701165,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1996-Q3","Q3-1996","PC","Percentage","0","Units",,,-3.809881,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1996-Q4","Q4-1996","PC","Percentage","0","Units",,,-3.381023,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1997-Q1","Q1-1997","PC","Percentage","0","Units",,,-3.000891,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1997-Q2","Q2-1997","PC","Percentage","0","Units",,,-1.915099,,
